obs_id,baseline,perframe,global,minnaert,d_perframe,d_global,d_minnaert,inc_min,inc_max
ESP_053989_2260,0.8727558901797884,0.8276096092685143,0.7750961413643149,0.27417488803790485,-0.04514628091127404,-0.09765974881547346,-0.5985810021418836,42.76,46.32
ESP_054622_2240,0.8043407733221033,0.6435262739226054,0.6227598147021665,0.5845553943817946,-0.16081449939949788,-0.18158095861993684,-0.2197853789403087,41.439,54.579
ESP_048688_2085,0.7502621722846442,0.620609951845907,0.6590476190476191,0.6148956661316212,-0.12965222043873725,-0.0912145532370251,-0.13536650615302304,48.649,54.32
ESP_054397_2105,0.7107516121859019,0.42433474167963825,0.5870191238603515,0.5757078793269587,-0.28641687050626363,-0.1237324883255504,-0.13504373285894322,39.469,54.039
ESP_045983_2270,0.5712610197453215,0.43245948686222957,0.47386336947867086,0.44157601690983134,-0.13880153288309194,-0.09739765026665065,-0.12968500283549017,43.09,62.908
ESP_047976_2020,0.8851874615857407,0.7045482483097726,0.7112476951444376,0.7593116164720344,-0.1806392132759681,-0.17393976644130305,-0.1258758451137063,64.328,64.328
ESP_046328_2180,0.7518130426854073,0.35513613600976307,0.5047700206202921,0.6273611637138969,-0.3966769066756442,-0.2470430220651152,-0.12445187897151033,40.53,56.359
ESP_064510_2260,0.7659130230785021,0.5770710536347908,0.7321784307400565,0.6537616198938447,-0.18884196944371123,-0.03373459233844556,-0.11215140318465733,43.09,43.13
ESP_059686_2235,0.671376764006246,0.4473582143671019,0.6519197933540564,0.5680880310822083,-0.22401854963914414,-0.019456970652189653,-0.10328873292403773,56.31,57.109
ESP_069669_2220,0.6900429887869978,0.46074046221364195,0.5845998002087707,0.5973084305164267,-0.2293025265733558,-0.1054431885782271,-0.09273455827057109,40.259,43.06
ESP_055017_2055,0.7552616033755274,0.6669324894514768,0.6246708860759493,0.6857046413502109,-0.08832911392405063,-0.13059071729957805,-0.06955696202531647,45.429,55.31
ESP_055055_2255,0.8839945280437755,0.8528877915318142,0.7826587923881975,0.8166494277801875,-0.031106736511961386,-0.10133573565557807,-0.06734510026358809,44.28,44.28
ESP_054134_2265,0.7859680257250333,0.8045225094041986,0.7496062371071471,0.7332538526877805,0.018554483679165235,-0.03636178861788619,-0.05271417303725279,50.109,50.939
ESP_017355_2260,0.8057105659494141,0.7239622112432321,0.6664827765914965,0.7552768784089096,-0.08174835470618202,-0.1392277893579177,-0.05043368754050459,42.179,52.45
ESP_068402_2240,0.7860376580320744,0.7686317898933499,0.7449889754286892,0.7525012822343131,-0.017405868138724467,-0.04104868260338512,-0.03353637579776125,43.929,66.53
ESP_055690_2200,0.7885215374454972,0.7481584253463738,0.7163738541069962,0.7552339259656333,-0.040363112099123466,-0.07214768333850108,-0.03328761147986392,41.06,55.59
ESP_071699_2260,0.8160681697029128,0.7660908109261648,0.8144835045350789,0.7916923686070511,-0.049977358776748027,-0.001584665167833954,-0.024375801095861793,42.658,43.96
ESP_076723_2265,0.8669215023916719,0.8514738403793083,0.8523387174903736,0.8450262792467785,-0.015447662012363583,-0.014582784901298274,-0.02189522314489334,42.658,42.658
ESP_069763_2235,0.713251033691416,0.44612439907412904,0.6743654420638218,0.6953004134765663,-0.2671266346172869,-0.038885591627594196,-0.01795062021484961,57.109,57.969
ESP_076565_2215,0.6889785332232472,0.7236556341314571,0.6540082684184705,0.6719331466657095,0.03467710090820986,-0.03497026480477672,-0.017045386557537734,40.868,55.408
ESP_049242_2115,0.7393826783716018,0.6381732880934001,0.6905088894075124,0.7242398673919417,-0.10120939027820164,-0.04887378896408934,-0.015142810979660082,44.609,53.689
ESP_045139_2270,0.908238529919019,0.9100550946414977,0.9040900504041209,0.905093427123504,0.0018165647224787085,-0.004148479514898051,-0.0031451027955149424,42.658,42.658
ESP_045878_2235,0.8723482515759888,0.805846555218399,0.8705432823119732,0.8789483702650349,-0.06650169635758985,-0.0018049692640156323,0.006600118689046086,52.908,52.908
ESP_045390_2215,0.8318098282444273,0.8207495804706074,0.8121977272763561,0.8431031922554315,-0.011060247773819865,-0.0196121009680712,0.011293364011004225,39.38,39.38
ESP_051943_2270,0.8988090469705466,0.934097038639216,0.9091965072498599,0.9135784667147322,0.03528799166866936,0.010387460279313254,0.014769419744185552,42.658,72.438
ESP_042964_2160,0.87963904556776,0.9278070081248434,0.8696066851523171,0.8967898552097743,0.048167962557083444,-0.010032360415442865,0.01715080964201432,42.53,62.24
ESP_045550_2180,0.783886175024977,0.3860741127505861,0.7992494339376353,0.8085077541758081,-0.3978120622743909,0.015363258912658218,0.024621579150831074,40.09,55.59
ESP_063429_2240,0.7172513029767726,0.6186557440471845,0.7613143641327358,0.750301108077726,-0.09859555892958816,0.044063061155963146,0.033049805100953344,42.96,43.929
ESP_076499_1160,0.8487743164942957,0.9020198638855593,0.8811894083537193,0.8985475643030818,0.05324554739126364,0.032415091859423595,0.049773247808786114,58.09,67.438
ESP_052576_2250,0.8251559021414251,0.8779988583804035,0.8803759418020004,0.8932346511158582,0.05284295623897839,0.055220039660575315,0.06807874897443311,51.548,51.548
ESP_059421_2170,0.7163381991393456,0.7611723939241763,0.7836589540282111,0.7905277913476791,0.04483419478483075,0.06732075488886546,0.07418959220833354,37.908,51.85
ESP_054000_2255,0.6699737142290334,0.650031741308337,0.726861578138174,0.7512369191092595,-0.019941972920696438,0.05688786390914058,0.08126320488022609,46.64,65.67
ESP_046959_2225,0.8425997025986057,0.9048675101165229,0.9421179489054653,0.9418866705670128,0.06226780751791716,0.09951824630685957,0.09928696796840708,42.439,59.359
ESP_055978_2270,0.7957031860065594,0.9508980165547399,0.9014602530064032,0.9256754646259566,0.1551948305481805,0.10575706699984377,0.1299722786193972,44.939,62.908
ESP_068483_2280,0.6108332475023175,0.7590654718989254,0.773237431478239,0.7459399640654147,0.14823222439660788,0.1624041839759215,0.13510671656309725,42.76,42.76
ESP_055253_2245,0.46539278725188704,0.34386916410399776,0.5791277606933184,0.6306933184232597,-0.12152362314788928,0.11373497344143135,0.16530053117137267,42.259,54.02
